,Race ID,Driver ID,position,avg laptime
140,847.0,20.0,2.0,209746.37142857144
141,847.0,4.0,10.0,320540.52777777775
142,847.0,13.0,6.0,210182.3142857143
143,847.0,17.0,3.0,209905.2142857143
144,847.0,1.0,7.0,116644.28571428571
145,847.0,3.0,11.0,210428.44285714286
146,847.0,18.0,1.0,209707.67142857143
147,847.0,30.0,4.0,209910.8
148,847.0,2.0,6.0,243031.6181818182
149,847.0,808.0,5.0,209999.0285714286
150,847.0,814.0,11.0,216112.776119403
151,847.0,813.0,14.0,230002.65573770492
152,847.0,155.0,7.0,210182.95714285714
153,847.0,16.0,18.0,262512.387755102
154,847.0,67.0,10.0,210379.9
155,847.0,22.0,9.0,210352.2
156,847.0,37.0,12.0,210616.34285714285
157,847.0,15.0,17.0,213946.5507246377
158,847.0,5.0,21.0,379323.60714285716
159,847.0,24.0,13.0,213813.59420289856
160,847.0,10.0,16.0,213941.76811594202
161,847.0,39.0,14.0,213923.15942028986
162,847.0,816.0,15.0,213936.98550724637
163,847.0,153.0,8.0,210221.44285714286
164,848.0,20.0,1.0,104845.0701754386
165,848.0,17.0,3.0,105323.22807017544
166,848.0,4.0,2.0,105036.14035087719
167,848.0,13.0,5.0,105752.17543859649
168,848.0,1.0,4.0,105655.42105263157
169,848.0,3.0,7.0,106565.94736842105
170,848.0,18.0,6.0,105898.84210526316
171,848.0,30.0,17.0,107630.71428571429
172,848.0,16.0,9.0,106855.0
173,848.0,2.0,10.0,107004.94642857143
174,848.0,814.0,14.0,107274.60714285714
175,848.0,22.0,12.0,107216.89285714286
176,848.0,155.0,16.0,107366.03571428571
177,848.0,67.0,13.0,107238.98214285714
178,848.0,808.0,15.0,107340.07142857143
179,848.0,815.0,11.0,107125.51785714286
180,848.0,153.0,8.0,106846.16071428571
181,848.0,10.0,21.0,109854.36363636363
182,848.0,5.0,19.0,108870.45454545454
183,848.0,15.0,20.0,109560.29090909091
184,848.0,24.0,23.0,110789.5
185,848.0,813.0,18.0,107951.92857142857
186,848.0,816.0,22.0,110230.0
187,848.0,39.0,24.0,112561.94444444444
188,849.0,20.0,2.0,102648.21153846153
189,849.0,17.0,3.0,102656.59615384616
190,849.0,4.0,1.0,102330.69230769231
191,849.0,18.0,2.0,104280.7435897436
192,849.0,13.0,5.0,102888.57692307692
193,849.0,1.0,4.0,102888.11538461539
194,849.0,814.0,15.0,105361.41176470589
195,849.0,155.0,18.0,111100.91304347826
196,849.0,30.0,9.0,103829.0
197,849.0,813.0,14.0,104374.4705882353
198,849.0,16.0,11.0,103863.61538461539
199,849.0,3.0,6.0,103497.32692307692
200,849.0,815.0,7.0,103592.03846153847
201,849.0,2.0,8.0,103783.42307692308
202,849.0,808.0,12.0,103882.25
203,849.0,153.0,10.0,103852.0
204,849.0,67.0,12.0,109193.76
205,849.0,5.0,24.0,130091.0
206,849.0,22.0,13.0,104358.27450980392
207,849.0,10.0,16.0,107369.16
208,849.0,24.0,18.0,108062.82
209,849.0,15.0,20.0,118191.8
210,849.0,816.0,17.0,107907.62
211,849.0,817.0,19.0,109866.6530612245
212,850.0,1.0,1.0,97505.56666666667
213,850.0,17.0,3.0,97668.7
214,850.0,4.0,2.0,97571.9
215,850.0,20.0,4.0,98304.25
216,850.0,3.0,7.0,99255.13559322034
217,850.0,13.0,5.0,98376.43333333333
218,850.0,16.0,6.0,98942.36666666667
219,850.0,808.0,10.0,99578.98305084746
220,850.0,30.0,8.0,99423.50847457627
221,850.0,18.0,8.0,99700.42857142857
222,850.0,22.0,14.0,102101.8125
223,850.0,155.0,9.0,99573.57627118644
224,850.0,813.0,14.0,100022.35593220338
225,850.0,153.0,12.0,99907.98305084746
226,850.0,815.0,11.0,99805.27118644067
227,850.0,5.0,16.0,101566.91379310345
228,850.0,10.0,17.0,103013.94736842105
229,850.0,67.0,15.0,100555.83050847458
230,850.0,24.0,18.0,103110.27027027027
231,850.0,816.0,18.0,103195.17543859649
232,850.0,817.0,19.0,103652.35087719298
233,850.0,812.0,20.0,105481.08928571429
234,850.0,2.0,16.0,102287.44444444444
235,850.0,814.0,13.0,99915.93220338984
236,851.0,20.0,2.0,91513.21428571429
237,851.0,1.0,4.0,92152.5
238,851.0,18.0,1.0,91461.95714285714
239,851.0,3.0,9.0,93546.89855072464
240,851.0,4.0,3.0,91745.08571428571
241,851.0,30.0,8.0,98919.46153846153
242,851.0,13.0,6.0,92650.18571428572
