,Race ID,Driver ID,position,avg laptime,Avg Pit Time
2187,879,817,13.0,90471.24285714288,22072.0
2188,880,817,11.0,95959.2564102564,23806.0
2189,881,817,14.0,108561.11764705883,22270.66666666667
2190,882,817,7.0,104100.64285714287,21870.33333333333
2191,883,817,16.0,102974.71428571428,22393.33333333333
2192,884,817,10.0,91729.26153846152,19812.5
2193,885,817,13.0,111131.70491803279,25225.0
2194,886,817,15.0,81406.05882352941,21269.0
2195,887,817,8.0,107615.36538461539,27837.5
2196,888,817,12.0,102194.76666666666,19998.0
2197,890,817,13.0,89853.76811594203,23014.5
2198,891,817,10.0,115810.59090909091,23007.5
2199,892,817,7.0,89541.15094339623,24319.0
2200,893,817,16.0,116760.56521739133,32097.0
2201,894,817,9.0,113783.46153846152,23543.0
2202,895,817,13.0,100280.73076923077,22195.66666666667
2203,896,817,10.0,92473.73333333334,25039.5
2204,897,817,16.0,109100.66666666669,22570.0
2205,898,817,11.0,107824.14285714287,24226.0
2206,899,817,10.0,79424.41428571429,23030.5
2207,900,817,2.0,98302.36842105264,22710.5
2208,901,817,16.0,112705.02040816328,45598.0
2209,902,817,4.0,105390.0350877193,24761.0
2210,903,817,4.0,104281.92857142855,22842.0
2211,904,817,3.0,92638.92424242424,21899.5
2212,905,817,3.0,84324.03846153848,26584.0
2213,906,817,1.0,85040.42857142858,23440.0
2214,907,817,8.0,74908.42253521128,21432.5
2215,908,817,3.0,170357.48076923078,28483.0
2216,909,817,6.0,84708.40298507463,19092.0
2217,910,817,1.0,96929.4,22739.66666666667
2218,911,817,5.0,115376.27272727274,22794.0
2219,912,817,5.0,90576.32075471699,24388.0
2220,913,817,3.0,120317.8,29437.0
2222,915,817,7.0,105142.56603773584,30006.0
2223,916,817,3.0,107684.73214285713,24198.0
2224,917,817,18.0,78640.74358974361,23006.0
2225,918,817,4.0,108724.65454545453,21664.5
2226,926,817,6.0,96926.59649122806,22535.0
2227,927,817,10.0,110488.3090909091,25903.66666666667
2228,928,817,9.0,107395.08928571428,22766.0
2229,929,817,6.0,101185.26315789473,25333.0
2230,930,817,7.0,93859.9076923077,23662.0
2231,931,817,5.0,84256.76923076923,24372.5
2232,932,817,13.0,80569.31884057971,23997.0
2233,933,817,10.0,77663.25714285714,27710.0
2234,934,817,15.0,110392.38095238096,35852.0
2235,936,817,3.0,92682.15942028987,22379.4
2236,937,817,5.0,118012.8947368421,22637.0
2237,938,817,8.0,90077.07692307694,24259.0
2238,939,817,2.0,119403.21311475411,30363.0
2239,940,817,15.0,102558.5,24656.0
2240,941,817,5.0,111668.65957446807,29732.0
2241,942,817,10.0,119751.32142857145,25582.0
2242,943,817,5.0,86967.88732394367,22455.0
2243,944,817,12.0,78879.71428571429,24230.33333333333
